Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
APCS        ,,,,,,,,,,12.1%,15.1%,194.6%,-31.1%,193.0%
APURE       ,40.8%,-42.2%,38.3%,25.7%,41.6%,-117.5%,-205.7%,16.3%,-17.9%,31.9%,21.2%,40.5%,15.5%,6.7%
APX         ,,,,,38.9%,18.6%,-10.1%,-28.8%,-17.1%,-52.1%,-33.6%,-56.6%,59.6%,34.7%
AQUA        ,,,7.7%,-10.3%,-3.3%,-0.9%,7.8%,-3.2%,-1598.4%,38.0%,19.5%,3.6%,9.0%,15.1%
ARIP        ,,,,,,,,,0.3%,0.7%,0.4%,1.0%,-0.6%,-0.8%
AS          ,,,,,,,0.6%,0.8%,0.2%,0.1%,0.1%,1.3%,-0.3%,-0.3%
ASIA        ,221.5%,276.8%,131.3%,64.5%,45.6%,102.2%,8.9%,31.2%,58.6%,52.1%,35.2%,14.8%,25.9%,21.3%
ASIAN       ,19.3%,9.9%,8.7%,24.4%,75.3%,-63.2%,33.7%,51.6%,34.5%,39.1%,86.7%,-695.6%,277.7%,47.2%
ASIMAR      ,14.8%,33.1%,51.5%,31.2%,128.2%,30.6%,16.9%,-32.0%,52.4%,9.6%,3.4%,1.9%,8.7%,1.9%
ASK         ,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ASP         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AYUD        ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BAFS        ,0.3%,1.6%,4.8%,6.3%,11.2%,18.5%,19.6%,13.6%,9.9%,11.4%,11.3%,7.9%,9.3%,6.2%
BANPU       ,26.0%,16.0%,7.5%,8.4%,15.8%,11.9%,7.9%,6.1%,6.1%,9.1%,15.7%,31.3%,34.5%,62.1%
BAT-3K      ,9.1%,4.9%,4.8%,6.6%,15.9%,12.1%,-21.3%,10.5%,12.0%,17.0%,-41.8%,35.7%,16.4%,10.4%
BAY         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BBL         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BCP         ,71.3%,-2107.3%,23.0%,16.6%,89.4%,19.7%,-335.0%,5.0%,18.8%,11.1%,15.8%,15.8%,82.9%,25.3%
BEC         ,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,4.7%
BFIT        ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%
BGT         ,,,,,,9.5%,7.4%,4.6%,5.9%,5.8%,13.5%,31.9%,60.2%,
BH          ,30.9%,15.0%,10.6%,7.8%,6.8%,5.1%,6.7%,5.2%,3.7%,8.3%,6.9%,4.5%,5.2%,4.2%
BIGC        ,8.9%,9.6%,4.3%,2.5%,2.5%,2.3%,3.8%,2.7%,0.2%,15.3%,14.2%,11.0%,8.8%,7.4%
BJC         ,10.5%,4.1%,3.5%,6.7%,11.3%,7.6%,13.1%,11.4%,7.3%,10.5%,14.0%,15.3%,20.8%,11.3%
BKI         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BLA         ,,,,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BLAND       ,782.4%,217.3%,65.6%,-142.9%,74.1%,224.7%,8.0%,14.3%,18.4%,11.4%,6.8%,3.7%,9.2%,6.7%
BLISS       ,,,16.7%,16.5%,-17.5%,8.6%,-3.3%,-105.8%,31.3%,-9.8%,-13.7%,22.5%,79.7%,23.5%
BOL         ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,1.0%,2.9%,0.8%
BRC         ,-13.7%,-1.3%,-10.1%,214.3%,56.8%,48.3%,23.4%,37.4%,-6.4%,-2.1%,5.1%,2.7%,2.9%,3.7%
BROCK       ,,,,,,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,-0.2%,0.2%,0.2%
BROOK       ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-0.6%,0.6%,0.2%,-0.7%,0.0%,0.0%,0.0%,0.0%
BSBM        ,,,,-57.4%,4.7%,0.2%,11.0%,2.8%,2.3%,3.8%,0.0%,2.0%,24.1%,-7.3%
BSM         ,,,,,,,27.8%,11.8%,-27.2%,-221.0%,12.3%,9.5%,11.5%,16.7%
BTC         ,,6.5%,15.0%,9.9%,14377.4%,-74.0%,-10.1%,-9.3%,-6.1%,-33.3%,,0.0%,-0.3%,-0.9%
BTNC        ,46.8%,32.7%,20.7%,21.9%,-42.4%,44.3%,56.9%,31.9%,18.9%,32.3%,64.5%,104.5%,100.5%,796.9%
BTS         ,,,,-385.1%,-96.4%,0.1%,0.0%,45.5%,11.3%,78.0%,37.3%,49.4%,3.5%,8.9%
BUI         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BWG         ,,,,,,6.6%,9.0%,-51.2%,25.1%,13.2%,14.1%,10.6%,12.0%,6.9%
CCET        ,4.7%,4.8%,8.8%,12.0%,13.1%,12.6%,20.2%,19.5%,9.3%,26.7%,22.6%,36.3%,25.7%,24.1%
CCP         ,,19.7%,19.9%,121.2%,-179.0%,253.2%,1493.0%,-551.3%,101.9%,70.1%,25.2%,9.6%,10.9%,29.0%
CEN         ,-2.0%,8.8%,8.3%,20.2%,-0.6%,1.3%,0.0%,1.5%,2.5%,31.2%,46.0%,113.4%,11.6%,-10.5%
CENTEL      ,18.7%,3.6%,1.6%,2.8%,15.4%,11.7%,8.6%,45.3%,59.4%,32.9%,20.9%,21.7%,21.5%,14.7%
CFRESH      ,43.5%,1864.4%,13.9%,7.6%,12.6%,29.6%,1.1%,3.5%,2.5%,4.3%,3.4%,-15.5%,10.8%,10.7%
CGD         ,-1327.2%,-77.2%,-169.9%,282.6%,-67.6%,,,,,,,,62.6%,-47.0%
CHARAN      ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CHOTI       ,24.1%,-64.0%,3.2%,5.4%,11.6%,2.8%,4.8%,1.6%,0.0%,0.0%,0.5%,9.1%,-28.9%,15.6%
CHOW        ,,,,,,,,,,38.7%,76.9%,38.8%,64.3%,197.5%
CHUO        ,20.3%,16.9%,13.5%,5.3%,3.8%,6.3%,7.5%,12.4%,0.1%,-14.4%,-9.1%,32.7%,19.5%,-1.9%
CI          ,6.9%,15.3%,16.3%,14.4%,36.2%,25.6%,9.5%,33.7%,78.8%,70.6%,29.3%,10.3%,41.0%,14.6%
CIG         ,,,,9.0%,41.4%,,109.9%,-1995.6%,-45.2%,-48.6%,-178.5%,125.7%,27.1%,60.2%
CIMBT       ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CITY        ,,,,,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CK          ,102.3%,39.5%,46.5%,38.0%,592.2%,91.8%,56.9%,85.2%,138.6%,41.8%,60.9%,14.3%,35.2%,36.2%
CM          ,1.8%,5.9%,7.3%,6.4%,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CMO         ,,,6.0%,5.8%,1.7%,30.2%,205.8%,95.1%,19.8%,-302.9%,9.4%,24.9%,-1324.3%,39.5%
CMR         ,16.3%,4.1%,1.1%,0.4%,0.0%,0.0%,43.3%,13.1%,15.2%,12.6%,11.1%,7.0%,7.2%,5.8%
CNS         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CNT         ,37.8%,4.7%,1.2%,0.8%,3.7%,3.0%,17.9%,3.6%,1.6%,1.3%,0.2%,1.5%,-4.8%,20.9%
COLOR       ,,,,,,,,,,27.4%,96.9%,-2975.6%,336.3%,25.1%
CPALL       ,,0.8%,1.5%,8.1%,-339.1%,625.3%,13.2%,0.0%,0.0%,0.0%,0.0%,14.6%,40.5%,33.7%
CPF         ,26.0%,35.9%,34.7%,12.9%,40.4%,61.4%,41.7%,13.1%,10.1%,11.4%,21.2%,45.4%,33.2%,32.4%
CPH         ,21.8%,44.6%,10.6%,8.1%,24.9%,-246.3%,-247.0%,55.5%,-12.0%,-75.6%,-60.4%,-61.4%,136.3%,33.0%
CPI         ,7.5%,6.2%,2.9%,-28.1%,98.0%,67.6%,17.7%,26.1%,,17.8%,56.5%,75.6%,35.8%,410.6%
CPL         ,0.5%,4.0%,7.6%,55.6%,12.6%,-48.1%,5.5%,3.1%,4.0%,3.7%,6.1%,4.7%,6.1%,20.3%
CPN         ,20.0%,20.9%,21.0%,11.0%,21.5%,19.8%,16.0%,10.1%,26.9%,26.5%,13.3%,9.7%,7.1%,5.1%
CPR         ,,,,9.4%,30.0%,39.6%,10.8%,7.8%,0.7%,0.0%,0.1%,0.1%,0.2%,0.2%
CRANE       ,,,,,,,,,,,,,15.0%,295.0%
CSC         ,45.2%,22.3%,18.1%,47.2%,9.0%,8.1%,2.9%,2.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
CSL         ,,,1.2%,0.9%,1.6%,0.1%,1.6%,4.5%,2.9%,3.0%,2.4%,1.7%,-46.5%,5.1%
CSP         ,,,,32.2%,41.8%,45.0%,38.9%,74.3%,20.3%,28.0%,28.9%,29.5%,17.3%,-38.5%
CSR         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CTW         ,5.7%,4.9%,11.2%,17.3%,17.4%,37.8%,-32.9%,12.0%,4.8%,14.3%,6.8%,9.9%,24.5%,-49.6%
CWT         ,218.2%,94.0%,36.9%,-386.8%,-66.5%,-94.1%,-360.7%,-222.4%,12.5%,55.3%,21.1%,185.7%,49.5%,37.0%
DCC         ,7.6%,2.9%,1.8%,2.7%,9.8%,6.0%,2.9%,0.4%,0.0%,0.2%,0.9%,1.4%,2.0%,1.5%
DCON        ,,,1.0%,0.6%,6.5%,21.6%,26.5%,20.5%,0.4%,0.3%,1.0%,1.8%,2.3%,3.8%
DELTA       ,0.9%,2.8%,8.9%,5.7%,6.9%,4.9%,2.4%,2.6%,1.5%,3.2%,2.1%,1.1%,1.2%,0.6%
DEMCO       ,,,,,,,,,,20.0%,17.9%,16.0%,14.9%,-9.2%
DIMET       ,,,,,,,27.4%,1.6%,2.2%,-1.5%,-7.8%,-12.4%,-31.2%,-28.7%
DRACO       ,14.9%,8.5%,15.8%,22.5%,13.4%,5.2%,2.3%,4.3%,3.6%,3.8%,-9.9%,9.1%,-43.0%,-17.8%
DRT         ,,,,3.9%,3.0%,2.2%,2.2%,0.8%,1.4%,1.9%,1.1%,7.1%,12.2%,7.6%
DSGT        ,,,,,12.3%,1.4%,2.4%,3.2%,3.1%,11.9%,9.2%,16.1%,21.4%,80.2%
DTAC        ,,,,,,21.1%,13.5%,14.2%,6.5%,2.5%,7.0%,13.5%,9.1%,15.7%
DTC         ,11.2%,15.7%,11.3%,5.3%,17.2%,33.7%,18.3%,-96.6%,18.2%,31.1%,53.0%,24.2%,64.5%,14.4%
DTCI        ,-187.3%,-70.9%,-4073.6%,123.1%,68.3%,18.6%,26.1%,9.3%,0.5%,0.2%,0.6%,4.4%,4.9%,3.3%
E           ,,,,1.5%,-0.2%,0.0%,-0.1%,0.2%,1.5%,23.0%,-30.3%,-17.8%,-9.0%,-9.2%
EARTH       ,-5.1%,27.8%,-2.2%,-5.6%,-18.7%,-37.7%,-14.2%,-55.4%,22.6%,,,,24.3%,33.3%
EASON       ,,,,1.4%,0.6%,0.6%,5.2%,4.0%,6.2%,3.6%,0.5%,3.1%,6.0%,6.2%
EASTW       ,23.2%,28.9%,26.4%,17.3%,11.9%,25.5%,14.7%,9.6%,6.5%,5.2%,5.3%,6.3%,6.8%,5.5%
ECL         ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
EE          ,58.6%,220.8%,56.3%,68.4%,-98.1%,-32.4%,282.2%,-16.1%,-0.8%,-3.2%,0.2%,0.1%,0.0%,0.0%
EGCO        ,46.4%,28.8%,28.8%,27.8%,16.9%,8.2%,7.5%,6.1%,7.2%,11.4%,5.6%,25.4%,24.5%,56.9%
EIC         ,,0.5%,0.1%,0.0%,0.0%,0.2%,1.3%,-1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,-0.3%
EMC         ,15.0%,13.6%,4.9%,27.9%,18.6%,2.6%,8.9%,-15.3%,-11.8%,30.5%,48.7%,-1.2%,-3.9%,-2.2%
EPCO        ,8.4%,-16.7%,10.8%,8.2%,5.0%,0.0%,0.2%,0.6%,0.6%,0.7%,6.7%,21.5%,19.5%,16.3%
ERW         ,45.4%,23.8%,19.7%,26.5%,27.6%,28.3%,54.1%,197.7%,297.4%,41.1%,63.1%,25.8%,134.1%,53.9%
ESSO        ,,,,,,,-14.3%,8.0%,14.2%,20.4%,147.3%,95.9%,-7.4%,28.0%
ESTAR       ,-58.7%,79.3%,0.8%,0.0%,5.7%,11.0%,0.3%,0.1%,0.0%,0.0%,0.0%,12.7%,2.7%,1.2%
EVER        ,-118.4%,-36.0%,,,38.1%,87.2%,94.9%,-18.1%,-202.1%,13.2%,-61.8%,321.5%,91.1%,-74.2%
F&D         ,8.0%,6.6%,29.1%,474.2%,-97.0%,227.2%,63.0%,18.6%,13.3%,22.7%,13.4%,36.7%,-27.6%,-8.8%
FANCY       ,0.5%,0.5%,0.0%,0.0%,-0.4%,0.1%,-0.9%,0.0%,0.0%,0.0%,0.0%,1.2%,0.7%,-3.1%
FE          ,0.0%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FMT         ,22.4%,21.6%,18.1%,27.1%,70.1%,73.0%,49.8%,-29.4%,34.1%,75.6%,130.1%,48.5%,26.4%,13.6%
FNS         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FOCUS       ,,,3.2%,1.6%,1.0%,5.5%,-502.0%,-34.6%,-6.9%,12.2%,6.1%,-6.1%,-31.0%,65.6%
FORTH       ,,,,,13.1%,14.6%,172.7%,50.0%,18.3%,26.8%,49.9%,21.0%,17.2%,12.5%
FSS         ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
GBX         ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
GC          ,,,,32.9%,17.6%,9.3%,11.9%,4.6%,4.0%,10.2%,16.3%,16.6%,24.5%,12.5%
GENCO       ,-44.6%,-4.7%,-0.8%,5.1%,1.8%,2.0%,19.3%,-3.0%,17.8%,0.7%,4.5%,0.1%,71.7%,119.6%
GFPT        ,8.3%,15.8%,-14.9%,18.5%,42.1%,27.4%,10.8%,9.5%,9.8%,10.0%,74.7%,10.8%,7.6%,9.4%
GJS         ,118.7%,17.0%,38.3%,-253.8%,-19.8%,177.2%,-3.3%,-4.9%,-12.6%,-36.8%,-33.5%,-15.3%,-72.1%,-23.9%
GL          ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
GLAND       ,-53.0%,0.4%,0.0%,0.1%,0.0%,0.1%,0.0%,-11.1%,-62.7%,93.6%,29.4%,16.7%,16.7%,11.7%
GLOBAL      ,,,,,,,,13.7%,14.2%,16.1%,16.2%,6.0%,13.2%,11.6%
GLOW        ,,,,27.4%,17.9%,17.9%,17.1%,18.1%,17.9%,28.2%,24.9%,27.5%,22.2%,23.1%
GOLD        ,54.9%,23.6%,30.7%,-3373.8%,46.7%,22.7%,-75.8%,-86.4%,-114.0%,-296.2%,-77.7%,-125.4%,33.8%,26.4%
GRAMMY      ,0.1%,0.2%,0.9%,7.5%,15.7%,8.0%,6.3%,7.5%,4.9%,5.3%,249.9%,-14.1%,-43.3%,-29.2%
GRAND       ,,,42.8%,70.9%,228.6%,-27.4%,1027.0%,-272.4%,-209.7%,-106.0%,-76.1%,-174.3%,17.6%,-216.3%
GUNKUL      ,,,,,,,,,3.5%,18.4%,9.4%,4.3%,8.5%,12.5%
GYT         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
HANA        ,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.3%,0.3%,0.3%,0.0%,0.4%,0.4%,0.2%,0.4%
HFT         ,,1.9%,3.5%,-26.9%,1402.9%,42.2%,17.2%,5.6%,3.0%,2.7%,0.5%,0.1%,0.1%,0.1%
HMPRO       ,14.2%,8.2%,5.8%,10.7%,18.8%,14.7%,9.0%,6.5%,4.3%,3.9%,4.0%,6.7%,10.1%,11.0%
HTC         ,1.2%,4.8%,5.8%,26.1%,9.3%,48.0%,16.7%,10.1%,6.6%,13.5%,6.1%,7.2%,22.9%,21.7%
HTECH       ,,,,,,,,4.9%,3.0%,8.3%,5.4%,9.0%,8.4%,8.5%
HYDRO       ,,,,,,,,,,0.5%,0.6%,-23.4%,-3.0%,-22.7%
ICC         ,1.3%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.4%,0.9%,0.0%,0.1%
IEC         ,-2.0%,-12.2%,-21.3%,-4.2%,-1.7%,23.4%,-7.1%,-21.5%,-12.3%,-25.5%,-9.9%,41.5%,-10525.4%,-537.6%
IFEC        ,68.7%,4.1%,27.8%,37.3%,21.4%,17.6%,21.5%,13.0%,7.9%,13.2%,2.7%,29.2%,23.4%,29.4%
IFS         ,,,,,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
IHL         ,,,,17.5%,16.2%,215.6%,19.2%,20.7%,7.8%,15.0%,14.0%,15.3%,14.4%,14.5%
ILINK       ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,3.5%,9.9%
INET        ,0.0%,0.0%,1.0%,0.8%,2.9%,-3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,33.7%,99.8%,33.8%
INOX        ,,,1.8%,0.7%,0.2%,5.5%,-0.6%,26.1%,14.1%,,-2593.7%,-5.8%,6.0%,8.1%
INSURE      ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
INTUCH      ,8.1%,3.6%,3.5%,4.4%,37.3%,18.7%,8.4%,15.1%,6.2%,2.8%,2.8%,1.7%,2.3%,1.7%
IRC         ,15.4%,6.0%,3.1%,5.6%,11.4%,4.7%,2.5%,3.3%,1.5%,3.1%,11.7%,3.2%,1.8%,0.6%
IRCP        ,,1.1%,6.3%,36.6%,16.7%,22484.1%,-36.4%,53.8%,22.3%,22.8%,17.2%,10.4%,10.1%,20.4%
IRPC        ,230.2%,71.9%,32.1%,11.0%,23.2%,7.8%,-8.3%,15.3%,7.8%,29.9%,373.5%,74.3%,-24.4%,17.4%
IT          ,,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.4%,0.3%,0.3%,0.7%,-11.1%,-5.0%,2.5%
ITD         ,51.9%,16.4%,21.2%,29.4%,-89.1%,51.2%,-210.4%,438.8%,79.3%,289.4%,87.7%,62.4%,78.4%,123.8%
IVL         ,,,,,,,,,10.0%,12.8%,39.0%,57.6%,51.2%,29.4%
JAS         ,-314.0%,31.8%,27.8%,26.5%,34.8%,51.8%,-46.2%,30.4%,28.4%,23.3%,13.5%,7.8%,6.9%,0.9%
JCT         ,-0.3%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.3%,0.3%
JMART       ,,,,,,,,22.7%,16.2%,9.9%,8.3%,9.4%,13.1%,23.1%
JTS         ,,,,,6.9%,18.1%,59.6%,37.1%,216.3%,183.0%,-64.4%,53.1%,-11.7%,-32.7%
JUBILE      ,,,,,,,,3.0%,0.7%,0.8%,0.5%,0.2%,0.1%,1.1%
JUTHA       ,-84.9%,62.2%,28.0%,35.6%,25.1%,22.5%,25.3%,43.3%,33.3%,-169.7%,89.5%,192.2%,162.4%,217.9%
KAMART      ,36.7%,6.8%,28.4%,-237.9%,-141.2%,-72.2%,-73.5%,-6.7%,-116.5%,13.2%,6.6%,5.6%,8.1%,4.1%
KASET       ,,,,40.9%,72.5%,65.8%,20.3%,46.9%,48.4%,325.6%,-17.3%,-36.9%,-25.4%,89.5%
KBANK       ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KBS         ,,,,,,,,,,25.1%,5.8%,3.2%,10.0%,-994.3%
KC          ,,0.0%,0.0%,4.9%,26.7%,47.4%,44.1%,72.9%,117.6%,-648.5%,43.1%,63.4%,56.1%,81.4%
KCAR        ,,,,20.9%,24.3%,27.8%,31.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KCE         ,42.7%,29.0%,35.7%,81.1%,130.9%,49.9%,-270.2%,60.4%,26.8%,53.9%,17.8%,12.5%,5.2%,6.1%
KDH         ,21.7%,17.3%,8.6%,9.0%,5.5%,,-0.2%,0.0%,-39.6%,3.4%,7.3%,-3.0%,-2.1%,-8.6%
KGI         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KIAT        ,,,,,,,,,4.7%,8.5%,12.1%,11.9%,10.6%,5.7%
KKC         ,14.9%,1.2%,9.3%,27.0%,77.2%,193.6%,131.2%,40.2%,20.0%,70.7%,53.5%,101.8%,78.8%,46.8%
KSL         ,,,,5.4%,10.5%,12.8%,14.2%,15.8%,64.5%,14.3%,14.8%,27.3%,30.6%,44.9%
KTB         ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KTC         ,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KTECH       ,,,15.0%,32.8%,176.0%,-5.9%,-4.6%,-45.2%,-87.0%,-90.2%,0.7%,23.7%,0.9%,19.6%
KTP         ,0.0%,0.0%,-7.7%,87.1%,-686.8%,-77.5%,-100.8%,-89.4%,-87.3%,-67.2%,-70.1%,-36.5%,-235.8%,-121.8%
KWC         ,20.8%,13.9%,8.4%,6.1%,26.8%,23.9%,20.0%,13.7%,5.2%,2.0%,0.8%,0.2%,0.7%,2.7%
KYE         ,11.5%,5.7%,9.9%,1.4%,0.9%,8.9%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
L&E         ,,,,,,,,,,,,,17.8%,42.6%
LALIN       ,2.8%,0.3%,2.4%,3.1%,5.8%,17.2%,7.4%,4.7%,4.4%,5.7%,8.9%,6.8%,5.1%,2.8%
LANNA       ,0.0%,0.0%,1.2%,2.1%,3.0%,2.6%,2.1%,1.8%,1.3%,1.1%,2.7%,5.1%,7.2%,8.8%
LEE         ,0.2%,0.2%,0.2%,0.1%,0.1%,0.0%,5.1%,1.1%,1.0%,1.1%,1.0%,1.2%,1.4%,1.5%
LH          ,4.5%,0.7%,1.5%,3.2%,3.5%,4.3%,4.5%,5.0%,4.8%,4.3%,6.7%,6.9%,4.2%,2.9%
LHBANK      ,,,,,,,,,,0.0%,0.0%,0.0%,0.0%,0.0%
LHK         ,,,,,,,31.9%,-304.8%,11.2%,8.5%,11.7%,7.1%,7.1%,8.3%
LOXLEY      ,36.1%,25.9%,39.7%,-31.9%,21.6%,30.9%,-7.2%,21.2%,436.1%,27.4%,26.7%,22.7%,24.1%,37.0%
