Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CPL         ,9.3%,3.7%,3.5%,0.6%,3.2%,-1.6%,4.1%,5.6%,3.3%,4.6%,2.4%,3.6%,3.9%,1.5%
CPN         ,24.6%,21.6%,21.8%,33.4%,21.7%,20.0%,22.2%,30.6%,9.2%,15.2%,30.8%,28.1%,29.5%,29.6%
CPR         ,,,,13.8%,3.3%,0.5%,5.3%,6.1%,12.7%,10.3%,13.0%,9.3%,9.4%,12.3%
CRANE       ,,,,,,,,,,,,,19.0%,-5.0%
CSC         ,4.4%,7.4%,6.8%,2.4%,12.0%,6.0%,6.4%,7.8%,9.7%,7.8%,10.1%,11.5%,11.0%,10.8%
CSL         ,,,16.4%,12.7%,8.5%,10.0%,6.1%,11.0%,14.8%,11.8%,13.2%,15.2%,-4.9%,10.6%
CSP         ,,,,2.5%,2.2%,1.5%,1.9%,0.4%,4.0%,2.7%,2.3%,1.9%,3.6%,-6.7%
CSR         ,37.1%,34.9%,36.2%,39.1%,38.5%,40.7%,33.6%,39.4%,38.7%,29.6%,37.8%,42.7%,40.8%,38.8%
CTW         ,8.4%,7.8%,4.7%,4.6%,5.3%,1.9%,-7.3%,6.1%,6.9%,2.2%,7.1%,4.3%,1.6%,-1.5%
CWT         ,-5.9%,-0.3%,6.3%,-9.7%,-19.4%,-14.8%,-11.0%,-14.2%,22.3%,3.6%,6.4%,-2.1%,3.2%,3.1%
DCC         ,15.6%,15.6%,17.8%,17.4%,12.7%,12.9%,13.0%,16.8%,18.0%,17.2%,16.4%,17.2%,17.0%,19.1%
DCON        ,,,18.1%,10.6%,7.1%,4.7%,2.9%,0.6%,9.5%,10.0%,13.9%,16.2%,17.5%,15.1%
DELTA       ,8.1%,4.5%,2.5%,5.1%,4.4%,9.1%,8.7%,8.0%,11.5%,7.3%,10.5%,12.8%,13.2%,14.0%
DEMCO       ,,,,,,,,,,3.6%,6.6%,6.2%,7.1%,-9.5%
DIMET       ,,,,,,,1.7%,2.2%,1.9%,-3.5%,-2.2%,-3.8%,-2.5%,-2.2%
DRACO       ,7.5%,6.3%,2.8%,0.9%,2.9%,7.5%,6.5%,3.1%,3.6%,3.5%,-4.4%,2.4%,-4.9%,-11.9%
DRT         ,,,,9.5%,13.1%,15.0%,11.2%,13.5%,13.6%,12.4%,13.8%,10.2%,6.8%,7.9%
DSGT        ,,,,,6.7%,8.0%,7.6%,9.0%,8.2%,3.5%,9.5%,6.4%,5.3%,0.0%
DTAC        ,,,,,,8.8%,13.2%,10.0%,14.9%,14.7%,12.5%,11.1%,11.8%,6.7%
DTC         ,18.2%,13.9%,22.0%,8.7%,6.9%,3.7%,5.8%,-3.5%,3.0%,0.8%,3.1%,3.0%,-0.4%,3.7%
DTCI        ,-4.9%,-8.0%,-3.1%,-0.6%,1.4%,5.3%,2.5%,1.4%,4.1%,5.2%,4.8%,4.8%,1.4%,7.2%
E           ,,,,2.0%,-29.2%,-175.0%,-280.1%,2.1%,27.3%,7.5%,-11.6%,-18.3%,-48.8%,-30.2%
EARTH       ,1366.6%,6.0%,-101.3%,-84.0%,-71.6%,-100.9%,-298.6%,-163.4%,3.9%,,,,7.0%,6.0%
EASON       ,,,,10.5%,8.9%,7.1%,6.3%,7.7%,6.4%,7.0%,16.0%,16.4%,13.0%,13.9%
EASTW       ,28.1%,24.9%,23.5%,23.9%,21.2%,18.1%,23.0%,28.0%,19.4%,30.4%,33.3%,34.5%,31.0%,34.0%
ECL         ,,,10.2%,13.9%,11.2%,-6.4%,21.0%,23.0%,23.9%,14.4%,18.5%,20.2%,21.8%,18.4%
EE          ,1.8%,-1.2%,1.0%,0.9%,-7.0%,-17.0%,-2.0%,-15.7%,-229.1%,-28.9%,59.1%,24.4%,0.7%,-993.5%
EGCO        ,24.2%,35.3%,28.1%,24.3%,30.4%,49.4%,45.0%,50.1%,44.9%,37.4%,44.7%,26.5%,31.1%,17.4%
EIC         ,,16.4%,13.3%,8.0%,7.1%,16.5%,17.5%,-19.0%,4.3%,4.8%,-4.6%,-6.6%,-119.3%,-105.1%
EMC         ,18.1%,12.4%,10.3%,1.0%,1.6%,4.9%,3.6%,-3.1%,-3.0%,0.6%,0.8%,-80.4%,-10.7%,-33.2%
EPCO        ,315.1%,-14.0%,16.5%,17.3%,17.7%,21.9%,18.5%,15.6%,16.8%,12.8%,9.4%,16.7%,24.7%,27.8%
ERW         ,2.2%,12.2%,13.4%,8.9%,12.1%,11.9%,2.3%,-7.2%,-8.2%,10.9%,2.4%,16.7%,-2.6%,3.7%
ESSO        ,,,,,,,-3.1%,2.7%,0.9%,0.5%,-0.7%,-0.2%,-4.7%,1.0%
ESTAR       ,-49.2%,48.8%,24.8%,-61.3%,3.8%,10.4%,9.4%,3.0%,6.5%,-32.0%,-33.3%,9.1%,18.9%,7.6%
EVER        ,-167.5%,-150.5%,,,11.8%,2.1%,0.4%,-219.2%,-61.0%,30.3%,-214.1%,-1.9%,-2.2%,-12.4%
F&D         ,9.0%,10.9%,1.7%,-1.5%,-6.8%,-2.2%,2.2%,11.9%,9.4%,4.7%,6.4%,2.4%,-4.9%,-17.0%
FANCY       ,23.9%,13.6%,13.4%,9.0%,-1.6%,4.1%,-0.4%,9.3%,5.8%,-6.3%,-16.4%,5.8%,3.6%,-15.6%
FE          ,10.5%,10.7%,10.0%,10.1%,9.3%,9.0%,9.6%,11.0%,13.7%,14.8%,15.1%,13.3%,9.6%,12.4%
FMT         ,6.9%,6.5%,5.8%,3.8%,0.7%,0.3%,1.0%,-5.9%,1.2%,0.3%,-0.2%,0.5%,1.3%,1.8%
FNS         ,45.6%,54.1%,50.9%,12.9%,-16.4%,-18.3%,-99.0%,-116.4%,2.4%,-60.2%,-7.3%,17.9%,15.2%,55.6%
FOCUS       ,,,0.7%,0.6%,0.9%,1.5%,-0.9%,-3.6%,-25.4%,2.1%,5.8%,-1.9%,-6.0%,0.7%
FORTH       ,,,,,8.6%,5.4%,-1.0%,0.7%,2.7%,4.2%,1.6%,5.6%,7.7%,9.0%
FSS         ,,,29.9%,10.6%,-3.3%,-5.7%,-57.0%,3.2%,10.0%,4.9%,10.0%,16.4%,12.4%,8.1%
GBX         ,,,11.4%,22.1%,-3.1%,2.9%,-36.8%,1.1%,0.6%,0.2%,0.1%,0.1%,0.1%,0.0%
GC          ,,,,1.1%,2.0%,3.1%,2.2%,3.6%,3.4%,2.1%,2.1%,2.2%,1.3%,2.2%
GENCO       ,-1.1%,-16.0%,-59.7%,2.8%,3.3%,12.3%,2.7%,-22.6%,0.9%,8.5%,8.9%,2.6%,0.0%,0.2%
GFPT        ,8.2%,3.3%,-9.2%,5.5%,1.5%,3.4%,9.6%,9.1%,9.2%,8.3%,0.3%,8.7%,9.7%,7.0%
GJS         ,-16.2%,1275.1%,5.8%,-4.5%,-19.4%,-0.7%,-13.5%,-44.9%,-22.7%,-6.9%,-24.6%,-14.9%,-2.8%,-12.3%
GL          ,,,19.0%,20.7%,18.2%,19.8%,24.6%,22.6%,30.4%,24.1%,37.3%,16.3%,6.1%,23.4%
GLAND       ,101.9%,40.0%,23.9%,6.6%,13.9%,12.9%,11.2%,-34.1%,-17.3%,-0.3%,5.4%,13.5%,17.9%,33.6%
GLOBAL      ,,,,,,,,8.0%,6.1%,5.8%,5.5%,6.0%,4.4%,5.1%
GLOW        ,,,,13.5%,16.5%,14.5%,10.5%,11.8%,15.1%,8.5%,9.4%,10.3%,12.5%,12.8%
GOLD        ,16.0%,18.8%,8.5%,-11.1%,7.4%,21.9%,-25.6%,-17.2%,-12.7%,-19.5%,-37.9%,-27.0%,6.9%,7.7%
GRAMMY      ,11.6%,8.8%,10.5%,3.2%,3.2%,6.9%,9.0%,6.3%,5.9%,6.6%,-2.9%,-11.6%,-22.5%,-11.8%
GRAND       ,,,14.6%,2.8%,-4.0%,-118.0%,-13.5%,-86.0%,101.0%,45.8%,-41.9%,-12.0%,12.2%,-8.7%
GUNKUL      ,,,,,,,,,9.5%,3.4%,16.5%,29.4%,16.4%,14.1%
GYT         ,6.9%,6.7%,8.0%,6.7%,5.2%,4.6%,0.7%,6.2%,7.2%,-2.9%,18.7%,8.7%,6.2%,9.4%
HANA        ,-11.3%,18.4%,16.5%,16.7%,14.4%,15.2%,12.3%,14.7%,15.6%,9.5%,9.0%,12.2%,14.7%,9.8%
HFT         ,,4.4%,2.8%,-4.7%,-1.4%,1.5%,3.4%,6.5%,5.8%,5.6%,6.6%,13.4%,11.3%,15.8%
HMPRO       ,2.4%,3.0%,3.8%,4.0%,4.0%,4.2%,4.8%,5.2%,6.3%,6.6%,7.2%,7.2%,6.5%,6.2%
HTC         ,4.5%,3.3%,2.7%,0.6%,2.2%,0.1%,0.8%,1.5%,2.1%,1.0%,2.5%,3.5%,2.2%,1.8%
HTECH       ,,,,,,,,26.5%,23.8%,20.7%,16.6%,8.7%,9.7%,8.7%
HYDRO       ,,,,,,,,,,6.9%,6.4%,-1.5%,-29.7%,-11.9%
ICC         ,6.8%,4.5%,6.6%,5.7%,5.5%,6.3%,6.8%,5.8%,6.8%,5.5%,6.7%,4.9%,4.3%,5.4%
IEC         ,-24.0%,-3.7%,-1.9%,-4.6%,-22.4%,4.7%,-30.1%,-29.8%,-51.3%,-27.2%,-27.0%,11.4%,2.6%,0.0%
IFEC        ,13.3%,28.7%,150.5%,7.1%,15.8%,12.3%,9.7%,12.2%,15.9%,10.2%,22.4%,4.4%,11.4%,28.2%
IFS         ,,,,,,,,,34.2%,25.2%,32.6%,31.0%,37.1%,33.0%
IHL         ,,,,12.1%,8.7%,-2.6%,7.6%,8.3%,14.8%,9.5%,13.1%,11.0%,10.4%,8.4%
ILINK       ,,,8.2%,9.0%,12.1%,9.4%,9.4%,9.8%,6.0%,6.2%,7.9%,8.4%,8.1%,8.6%
INET        ,13.5%,14.0%,13.1%,7.8%,1.0%,-0.2%,-4.9%,2.1%,-3.0%,-25.8%,-0.6%,0.8%,-1.3%,6.1%
INOX        ,,,12.2%,2.6%,13.6%,0.7%,-7.9%,4.2%,6.0%,,-0.1%,-3.0%,1.6%,1.0%
INSURE      ,12.4%,15.2%,2.8%,0.6%,-19.4%,10.0%,-13.8%,-12.0%,1.8%,-18.1%,-18.8%,-1.3%,-8.6%,18.6%
INTUCH      ,35.5%,47.3%,43.9%,38.6%,14.5%,4.2%,35.6%,39.2%,46.3%,63.1%,59.6%,59.3%,58.4%,54.9%
IRC         ,6.2%,7.9%,6.8%,5.2%,3.8%,5.9%,4.9%,5.7%,5.7%,2.5%,1.6%,6.0%,5.7%,8.5%
IRCP        ,,6.0%,4.6%,0.5%,4.3%,-1.9%,-14.0%,2.6%,5.2%,2.6%,3.2%,5.8%,8.0%,4.4%
IRPC        ,-5.4%,2.6%,7.9%,29.5%,3.3%,5.6%,-7.4%,3.2%,2.8%,1.7%,-0.3%,0.3%,-1.8%,4.3%
IT          ,,3.0%,3.1%,3.4%,3.4%,2.9%,2.9%,2.9%,3.3%,3.3%,1.5%,-0.2%,-0.2%,0.4%
ITD         ,29.6%,5.0%,3.9%,3.2%,-5.3%,2.2%,-6.1%,-4.3%,0.8%,-3.8%,0.3%,2.0%,1.1%,-0.7%
IVL         ,,,,,,,,,10.5%,8.0%,2.1%,0.6%,0.6%,2.8%
JAS         ,-24.8%,60.0%,17.4%,12.5%,4.0%,-0.9%,-22.3%,2.4%,6.7%,11.2%,20.3%,26.7%,26.4%,47.0%
JCT         ,-2.7%,3.0%,10.5%,10.8%,9.0%,15.6%,15.1%,18.1%,11.9%,13.6%,12.5%,12.4%,14.4%,11.5%
JMART       ,,,,,,,,1.7%,1.8%,2.8%,4.3%,4.0%,3.8%,3.2%
JTS         ,,,,,10.7%,6.5%,0.4%,2.1%,-2.8%,-4.7%,-14.6%,3.4%,-105.0%,-48.0%
JUBILE      ,,,,,,,,10.9%,15.0%,14.7%,13.5%,13.8%,12.1%,8.8%
JUTHA       ,-11.3%,5.2%,19.0%,11.1%,23.8%,25.1%,18.1%,9.1%,22.8%,-20.6%,-0.7%,-6.7%,-6.5%,-8.2%
KAMART      ,2.8%,24.2%,3.9%,-2.5%,-5.3%,-20.2%,-23.1%,-153.9%,-26.2%,25.4%,27.9%,18.4%,9.1%,17.4%
KASET       ,,,,0.8%,0.4%,0.5%,3.7%,0.7%,0.7%,-0.8%,-13.0%,-4.5%,-5.8%,0.1%
KBANK       ,15.2%,31.9%,34.0%,27.6%,20.7%,20.2%,18.5%,17.8%,16.6%,16.3%,19.8%,20.3%,19.9%,15.9%
KBS         ,,,,,,,,,,5.0%,10.9%,8.4%,5.1%,-0.7%
KC          ,,1027.7%,23.9%,16.7%,13.3%,7.8%,8.5%,1.5%,-1.5%,-12.8%,6.4%,2.4%,4.4%,1.1%
KCAR        ,,,,22.6%,18.6%,17.6%,15.7%,16.2%,18.5%,14.1%,15.8%,13.3%,11.3%,10.5%
KCE         ,4.0%,5.8%,4.1%,0.0%,-1.5%,3.0%,-5.1%,2.9%,7.1%,1.8%,9.9%,12.4%,18.0%,17.8%
KDH         ,10.5%,7.1%,7.3%,7.4%,4.9%,,-1.1%,-5.8%,-1.4%,11.8%,4.4%,-18.4%,-9.2%,-9.7%
KGI         ,35.1%,43.6%,22.0%,13.5%,15.8%,21.9%,13.7%,14.9%,32.8%,22.9%,23.2%,28.4%,29.5%,23.7%
KIAT        ,,,,,,,,,22.2%,20.0%,14.0%,11.6%,11.5%,13.4%
KKC         ,16.2%,16.2%,11.6%,4.2%,1.0%,-1.7%,-1.0%,3.3%,6.5%,0.7%,1.8%,0.0%,0.5%,2.0%
KSL         ,,,,8.9%,10.4%,9.2%,7.6%,7.5%,1.3%,11.3%,10.4%,8.4%,8.3%,4.2%
KTB         ,16.5%,18.2%,20.1%,22.6%,18.1%,8.3%,15.8%,17.0%,18.9%,17.0%,19.4%,25.6%,23.8%,17.7%
KTC         ,10.9%,13.6%,13.8%,,5.4%,4.9%,4.3%,-3.3%,2.0%,-14.0%,2.2%,10.6%,14.0%,15.4%
KTECH       ,,,1.4%,0.9%,-0.9%,-33.8%,-402.6%,-163.8%,-272.6%,-1342.5%,91.0%,5.4%,26.1%,0.4%
KTP         ,0.3%,0.4%,-68.7%,1.6%,-7.0%,-12.9%,-17.7%,-42.2%,-48.7%,-73.8%,-73.5%,-94.4%,-15.6%,-20.9%
KWC         ,5.8%,12.7%,18.1%,12.2%,12.8%,13.5%,14.0%,18.3%,23.8%,26.4%,28.2%,30.6%,29.6%,23.3%
KYE         ,3.7%,4.8%,1.6%,4.8%,3.1%,0.3%,1.0%,6.3%,13.0%,7.6%,7.1%,8.4%,5.7%,9.8%
L&E         ,,,,,,,,,,,,,5.6%,2.3%
LALIN       ,20.2%,24.9%,24.7%,25.1%,20.6%,12.2%,16.1%,20.0%,19.1%,15.7%,15.6%,17.9%,18.2%,17.0%
LANNA       ,5.6%,3.3%,6.9%,8.4%,7.1%,6.2%,6.3%,12.1%,7.5%,7.9%,6.8%,4.7%,3.5%,3.0%
LEE         ,8.2%,7.9%,5.6%,7.6%,8.7%,8.4%,3.4%,8.1%,7.8%,8.0%,6.6%,5.9%,4.6%,4.2%
LH          ,23.8%,30.1%,28.7%,21.7%,16.6%,15.9%,20.1%,20.5%,21.0%,24.1%,21.1%,23.3%,24.7%,25.2%
LHBANK      ,,,,,,,,,,14.3%,13.5%,12.9%,15.2%,18.1%
